desc,joules_sum,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9
0_4_50_0x1300_135_200000,701.9459760599966,1.7735795088179254,1.3249531142774176,0.3993359550566833,0.5021314218479745,3.6068073409971317,1.1436124172494362,0.8558799909367226,0.29026182262455685,0.10323326675033134,0.00020516144182600716
0_12_20_0x1300_135_200000,713.6624667200012,2.1676979090992647,0.9692965626605902,0.31206138281275925,0.5509441454273845,3.5777529336504665,1.2009597729358399,0.8095958507976393,0.16608906950356264,0.24560234668795392,2.642453555880748e-08
0_4_400_0x1300_135_200000,647.8115380800009,1.686804695723407,1.562299078448847,0.3303851568791135,0.4205110689486325,3.5978257490023413,0.27951600893894407,0.10334656538101711,0.020463531778586154,0.9929328887381585,1.0059152561609512
0_5_350_0x1300_135_200000,661.0512971999997,1.685025077881338,1.5715943712857412,0.3418259662173723,0.40155458461554805,3.55286900901285,0.021214321663698903,0.13494188956084052,0.29770587425935185,0.9658406149455654,1.0274282905576941
0_8_200_0x1300_135_200000,667.9898513399967,1.6823212209118177,1.5292345008032784,0.34976818420522116,0.43867609407968283,3.601519647957769,0.028063296053887257,0.1294234854075185,0.23954299366478182,0.9576798990119229,1.0437706779041176
0_8_20_0x1300_135_200000,713.6624667200012,2.171785707045836,0.9654193244885584,0.3123014597838233,0.5504935086817839,3.562927396119427,1.1938757380012397,0.8147859264230636,0.18017874326171224,0.2482321681553354,2.8039223040382443e-08
0_6_40_0x1300_135_200000,707.4755133599974,1.8791933276606634,1.2075519144131956,0.39318961027701155,0.5200651476491286,3.563336935640276,1.1659412803608282,0.8429042204808932,0.18573604744579808,0.24208145847669013,5.759551609921261e-08
0_12_2_0x1300_135_200000,716.8488615399983,2.127196920057286,1.0281007570328262,0.335640058435258,0.5090622644746298,3.6251119412540196,1.1733127236982486,0.8333373862705653,0.19331494364572546,0.17491847413610634,4.530995339078479e-06
0_11_2_0x1300_135_200000,716.5227248200026,2.109781090602194,1.03597183268415,0.33909575915947154,0.515151317554184,3.692254881598226,1.197235971786109,0.8025428811008207,0.20770809711686886,0.10025674701943163,1.421378547816568e-06
0_14_20_0x1300_135_200000,713.6624667200012,2.173120545384199,0.9640560269620899,0.5500993370875263,0.3127240905661863,3.5685158341328984,1.2069710214614704,0.8022288148850472,0.17019069701715675,0.2520936058755695,2.6627862123316778e-08
0_13_50_0x1300_135_200000,705.9581657800009,1.7937096125392098,1.3020626161821252,0.39967625272041757,0.5045515185582473,3.4950179813577527,1.1593690211326602,0.8498122872464541,0.29952938054440403,0.1961532386615638,0.00011809105716524745
0_15_400_0x1300_135_200000,657.4663111799964,1.713799353813885,1.5605928621156475,0.33167612282135345,0.39393166124911255,3.596621650075867,0.24769286434126067,0.13731716699303168,0.01896178315215319,0.98164282200399,1.0177637134336956
0_2_350_0x1300_135_200000,647.2637803800026,1.6920412605606492,1.5537612597246266,0.33297209633126373,0.42122538338346255,3.5978466845766484,0.02859608362291484,0.10291606297047685,0.27167810166040907,0.9902763300354962,1.0086867371340533
0_14_50_0x1300_135_200000,701.9459760599966,1.7686168352126548,1.316125860330958,0.40393292723398777,0.5113243772224001,3.6115529644010778,1.155735543233176,0.846748690622515,0.27831626109293484,0.1074385534463858,0.00020798720391278303
0_9_10_0x1300_135_200000,717.7339262799997,2.292031191303386,0.903555324365092,0.5657122837400265,0.238701200591492,3.6580786732098245,1.1942379428432879,0.8063403572264338,0.22966309921035408,0.11167949551669312,4.31993412406696e-07
0_9_350_0x1300_135_200000,661.0892640799939,1.6852574834632492,1.5797437584317011,0.3338816691917263,0.40111708891332265,3.6076740526349043,0.22787572516927695,0.1455429537109817,0.022017203547240592,0.9651533233539112,1.0317367415836842
0_10_300_0x1300_135_200000,660.0298080600005,1.6770853343643395,1.5360910929694507,0.3521209214658124,0.43470265120039625,3.5379039796699545,0.025972816576350546,0.11733173152193434,0.3202383505014312,1.0134420888853146,0.9851110328450126
0_1_250_0x1300_135_200000,670.2554730200009,1.6843643188560387,1.5632643325751048,0.34307806475938474,0.40929328380947155,3.59882102114274,0.021252881505185627,0.1557279976624673,0.23303350299254913,0.9485025575714026,1.0426620391256585
0_12_30_0x1300_135_200000,711.4883287400007,1.989558022298125,1.0957297746343566,0.3717635992687884,0.5429486037987288,3.514668366939711,1.1961603346176573,0.8108734215189283,0.19576252445808925,0.2825353225750689,2.989054711034246e-08
0_10_200_0x1300_135_200000,667.9535020199983,1.6834146602232987,1.5327812271263472,0.3490098576468458,0.4347942550035097,3.6086693977149267,0.02316259897514518,0.11267277148909431,0.2537084405864288,0.9684868796908815,1.0332999115435226
0_2_50_0x1300_135_200000,701.9459760599966,1.7591391849759215,1.317565178544643,0.412952743533611,0.5103428929458245,3.60805872762462,1.1362877385242116,0.865157144127213,0.27619699682533905,0.11410316615845294,0.00019622674016358174
0_7_10_0x1300_135_200000,717.6951353599998,2.279357256064932,0.9079870774067873,0.5679682681125057,0.2446873984157755,3.6846101470854373,1.2095203412044548,0.7898922319823224,0.22479263536804026,0.09118286452836986,1.7798313808955233e-06
0_3_10_0x1300_135_200000,717.6951353599998,2.2873886307529263,0.9034016278528536,0.5683183097628496,0.2408914316313706,3.660365171114124,1.2027960508125155,0.7992606313226625,0.2152723576794578,0.12230480985293517,9.792183040887769e-07
0_3_400_0x1300_135_200000,657.4431159800006,1.6983049740767207,1.5838518140119529,0.32998591708461356,0.38785729482671216,3.567549728801186,0.28549907591546114,0.1322793492362443,0.015228076775922911,0.9872306644487567,1.0122131048224254
0_4_300_0x1300_135_200000,660.0298080600005,1.6836367820538765,1.5503688434452492,0.33639083919284934,0.4296035353080238,3.5504736040453846,0.02558128166121424,0.10375462154718265,0.3220715323423303,1.0068515484560099,0.9912674119478772
0_9_400_0x1300_135_200000,657.4431159800006,1.7059449487878562,1.5765525395892472,0.3253291965166718,0.3921733151062221,3.567520049468735,0.019659894616876266,0.1457371148942207,0.2672247025649344,1.0013497978700394,0.9985084405851962
0_2_100_0x1300_135_200000,686.5383966000009,1.6153887682132235,1.5416345929312094,0.3850507225388594,0.4579259163167088,3.6164136259248996,1.1042239273356942,0.8957523728220255,0.25908072257406956,0.11196691632420033,0.012562435019110923
