desc,joules_sum,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13,eig_14
0_0_300_0x1d00_135_200000,952.9624771800009,9.996379216457264,1.7081572519919839,1.5222316290629834,0.9994898371253028,0.3269139989033506,0.4422839000811759,0.0037405048901854717,0.000591075004847753,9.566144435565263e-05,6.189137694889704e-05,3.5302626816970685e-05,1.279809659293456e-05,5.17089974563596e-06,1.3002817790609713e-06,4.6175666305177965e-07
0_3_350_0x1d00_135_200000,966.6429603600045,9.992707437238698,1.7374847677759517,1.53197174773155,0.999629518067349,0.34008469046465967,0.3903140259383877,0.0051244205255705465,0.0022711662077751506,0.00022137304463344676,0.00013711460263002265,2.4517503709425345e-05,1.7825154904630782e-05,6.986088696533552e-06,4.0418494259993015e-06,3.6780606131100124e-07
0_15_350_0x1d00_135_200000,966.6590749199968,9.984333981884248,1.7327709548116943,1.5440300597787162,0.9993349343562188,0.33438609775547246,0.3890285083483518,0.013356497525362486,0.002436376768538694,0.00015815020530676326,0.00010410820141314376,2.913874870125023e-05,1.9604851692622526e-05,9.476005622455422e-06,1.7739335616511724e-06,3.3682511146345247e-07
0_13_250_0x1d00_135_200000,991.1289885000006,9.998777079471857,1.6913535584647663,1.5358334549951096,0.997689446666031,0.34849315226246275,0.4240865584533983,0.0030757388643603842,0.0005261805190034688,7.244805188039059e-05,3.68162412728108e-05,3.2121057613402675e-05,1.2180816642700859e-05,6.552459757885505e-07,7.064744141158491e-06,3.544145494419315e-06
0_14_50_0x1d00_135_200000,1038.992817800001,9.995667442655932,1.757846139122866,1.329662463611583,0.9991965312930089,0.3925339440994553,0.5195940127513627,0.004729159983644711,0.000474860411206201,0.00018050950084215435,7.691781452803895e-05,2.8373254494058698e-05,8.397821117197759e-06,9.962535327658723e-07,2.2726916677481303e-07,2.4157267433167532e-08
0_15_10_0x1d00_135_200000,1098.9022807000001,9.998559059358909,2.465710242967288,0.9994481608682074,0.8328087499157796,0.5334851426789126,0.16701449539081129,0.0022075465167061973,0.0005232634107068112,0.00015716589729116776,7.879599814166331e-05,4.580337653344118e-06,2.4975159781776422e-06,2.5890753283011974e-07,4.0236016578983696e-08,5.299864281766882e-14
0_12_250_0x1d00_135_200000,966.4374691999983,9.995786848379401,1.6932588697533566,1.5427303540605937,0.9990363063560336,0.3520703979122381,0.41101025365253835,0.004575174207200237,0.0011278240257901783,0.00030711188286752447,4.5595033727242834e-05,3.267014768816161e-05,1.0203972729611773e-05,5.087514920349413e-06,3.0908073833591614e-06,2.1229354304610942e-07
0_15_400_0x1d00_135_200000,968.4783110799999,9.96647246527326,1.6877713176579274,1.5652147845826645,0.9986543801836679,0.3250336012421835,0.4211207827972034,0.0344342916399656,0.0006846351830029219,0.00045938199148644554,9.726715425455732e-05,4.0580932323890014e-05,1.0245664691536723e-05,3.974197036109776e-07,1.8355781802430858e-06,4.0326994948781305e-06
0_2_250_0x1d00_135_200000,966.3808546,9.992896027237713,1.6973985388209045,1.536097035607423,0.9987910637869525,0.3498758893423524,0.4167182993783989,0.006199989301792731,0.0015881019035466628,0.0003117376569122714,6.863585445164954e-05,3.2687766088292596e-05,1.3527141591590386e-05,5.888587571852993e-06,2.428912731740372e-07,2.334723037140359e-06
0_9_40_0x1d00_135_200000,1078.2022280399979,9.997309986081621,1.9146499810720283,1.2125520080162357,0.9971827557714891,0.3730556427348897,0.5009096109778526,0.003895335632591991,0.0002541671782220332,0.00013232038955705402,3.9118413621656965e-05,1.5514732191580238e-05,2.9346572536087718e-06,5.457226545544733e-07,7.758202893003256e-08,1.0377666765684581e-09
