desc,avg,std,min,5th,10th,50th,90th,95th,99th,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13
0_40_0x1300_135_200000,68.8,13.7,41.1,50.6,52.1,66.9,87.4,93.0,103.3,9.99716960832728,1.9057372346761767,1.1889365598030166,0.5161502521493859,0.3889904459276246,0.0026341046294555853,0.0002724446706998901,5.565956237208898e-05,4.736348711637941e-05,4.72909632550027e-06,1.0744467097787834e-06,4.593234560655689e-07,6.390036586291623e-08,1.8560452382372154e-14
0_30_0x1300_135_200000,63.7,10.7,41.1,50.4,51.5,61.6,78.7,83.4,94.2,9.995445160868295,2.008702125167668,1.0769262026458482,0.5585883513155306,0.35546607750454945,0.004674176794345211,0.00012885465364623604,4.878434431637158e-05,1.1742817864027835e-05,6.807878126377379e-06,1.5284218003887817e-06,1.4847429400926878e-07,3.9113665820728827e-08,4.360931987361595e-14
0_100_0x1300_135_200000,107.1,30.4,41.1,58.6,65.1,107.3,148.4,154.7,170.6,9.993272901575722,1.6693857809630162,1.5415016578674867,0.3321135367046537,0.4566118964413124,0.0068689832513392935,0.0001672267214917169,3.762965895854881e-05,2.0044034609282955e-05,1.4370745740231658e-05,4.8850673677380765e-06,9.687464256647035e-07,6.626001799307197e-08,5.196187456670757e-08
0_10_0x1300_135_200000,58.5,7.9,41.1,50.2,50.9,56.9,68.9,73.8,86.0,9.99939400251419,2.400332575166921,0.8593945211911947,0.548719610424986,0.19077694211107432,0.0008912586778482042,0.00041028259982808595,5.1984763778435526e-05,1.5870794025071634e-05,1.1122236126158292e-05,1.6133029449472968e-06,1.6909302070668754e-07,4.712405150470638e-08,2.959399577674266e-14
0_10_0x1300_135_200000,58.5,7.9,41.1,50.2,50.9,56.9,68.9,73.8,86.0,9.998944419590908,2.387464519059635,0.8631852102400892,0.5616519487841325,0.18761857885991928,0.0008951313025027242,0.00013921262709143558,7.251606869693152e-05,1.9502851221315528e-05,6.264267848682134e-06,2.4598682224927306e-06,1.8270192887688143e-07,5.377779684854241e-08,1.1897263396889298e-14
0_350_0x1300_135_200000,250.8,99.9,41.1,93.0,113.2,252.7,384.1,402.3,440.3,9.986886046861812,1.7087347889058926,1.5496567451525218,0.33125662832783154,0.4098382113532688,0.01200386142351061,0.0010697453343688494,0.0003396378105594016,0.00015321030358667016,4.2644541053972845e-05,1.6059795439896876e-05,1.5932944576212148e-06,6.627186677691474e-07,1.6417702921629553e-07
0_100_0x1300_135_200000,107.1,30.4,41.1,58.6,65.1,107.3,148.4,154.7,170.6,9.999538313425724,1.6331987105704107,1.553577372344011,0.3666742600241224,0.4445136443913345,0.0017786378588061614,0.00042111086156362284,0.00022521252923264314,6.362635992420039e-05,4.344429729055472e-06,2.6162846743378653e-06,2.1153100889413747e-06,1.4552165428018239e-08,2.1058225905945314e-08
0_200_0x1300_135_200000,166.1,58.1,45.3,74.1,86.2,167.3,243.8,257.1,276.6,9.995789764836793,1.689148199355671,1.5233607348588805,0.35850630418261437,0.4286394213684573,0.004262718563214584,0.00018680940897870203,5.514417604097657e-05,2.4334054648428917e-05,1.8472498665362657e-05,6.9307190373437445e-06,1.0090334526652432e-06,3.169096045542548e-08,1.2525259348786506e-07
0_40_0x1300_135_200000,68.8,13.7,41.1,50.6,52.1,66.9,87.4,93.0,103.3,9.997862525912016,1.9076279147126052,1.1611783186863749,0.5280501564639812,0.40303122036205796,0.0017169260723568405,0.0003671457354609793,9.793116289901177e-05,4.074250369486849e-05,2.4918635237976842e-05,1.3753238592055571e-06,7.691009012580129e-07,5.5328455215826424e-08,9.531740148525552e-14
0_400_0x1300_135_200000,277.9,115.5,41.1,96.6,119.0,280.0,431.4,455.5,487.5,9.992032262294664,1.7531023122345044,1.5526071809663216,0.30467852349071867,0.3887278423827981,0.00668850878536794,0.0014486489807562738,0.0003896401028135462,0.00021916191319493913,8.588455054023208e-05,1.2735742934217983e-05,5.956774060447479e-06,1.2976158727983663e-06,4.4165456359559536e-08
