desc,avg,std,min,5th,10th,50th,90th,95th,99th,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13
0_100_0x1100_135_400000,117.5,31.2,45.3,68.7,76.5,117.5,155.6,166.8,188.0,9.997771365880697,1.6637807013184245,1.5523017575907627,0.3551318857552742,0.42860296804417924,0.00170133055405518,0.0005057404856417752,0.0001320480229683203,6.53530824620947e-05,6.326192098838944e-06,3.8456615420953624e-07,1.226196455812539e-07,1.5835262232566908e-08,5.236278408870477e-11
0_10_0x1100_135_400000,77.7,28.9,41.1,54.5,56.1,70.3,106.5,126.6,190.3,9.990117722503776,2.1608323631228856,0.9786705532339371,0.5688916949088528,0.2912213141332503,0.007453162105459475,0.0020820470097859586,0.0006142305316334675,7.546259122116023e-05,4.033816471211682e-05,6.208758194154894e-07,4.4831586792688414e-07,4.250279021073082e-08,1.3286731812632482e-14
0_2_0x1100_135_400000,75.6,33.4,41.1,50.4,52.1,66.8,106.0,127.1,209.1,9.98423114965109,1.8470503122494424,1.2166488076193909,0.5574834494840852,0.37864673729045606,0.014800079822838522,0.0006999123820020321,0.00032788532190904617,0.00010444284806565285,6.802021746907125e-06,2.5084048245630823e-07,1.3502986465404914e-07,3.5438623520124545e-08,1.0552814760154821e-14
0_50_0x1100_135_400000,88.8,21.0,41.1,58.6,63.4,87.6,113.6,122.6,151.2,9.976822433134357,1.6853633157216426,1.470720268912179,0.3447447707791433,0.49899022524774794,0.01680335912887937,0.005016379570000491,0.0014304688779859997,0.00010257885370744924,5.314497865100828e-06,7.452592824144566e-07,1.1706324414523503e-07,2.2953959573496023e-08,5.077702436834857e-15
0_10_0x1100_135_400000,77.7,28.9,41.1,54.5,56.1,70.3,106.5,126.6,190.3,9.99798449713617,2.207034533688978,0.9535220480243483,0.5473934103970552,0.29100984385671697,0.0014335772514777554,0.001207628633932458,0.0003593026822471181,4.973522055532047e-05,3.4453861919220047e-06,1.5848113632737696e-06,3.5223134125643766e-07,4.0679634304755586e-08,5.446994123075866e-15
0_20_0x1100_135_400000,78.7,24.7,41.1,55.6,57.9,73.5,104.0,118.8,172.0,9.994617380122138,1.9394127496885982,1.1387735100627,0.5555843650725961,0.366029832215131,0.0031045187241716763,0.001683901998983354,0.0004841044074330453,0.00030661537483622547,2.332440849466773e-06,4.6777355061030865e-07,1.7546628660383994e-07,4.6652714008566874e-08,1.3781913974419548e-20
0_350_0x1100_135_400000,266.2,99.7,45.3,105.7,130.8,268.4,396.4,425.3,477.2,9.979429379346357,1.7443366159416374,1.576301225142848,0.30263089635680535,0.37590843702211096,0.01995524538454818,0.0011709144692960709,0.00018669133350042075,4.660589398314492e-05,3.0007912435257953e-05,3.2817580254354755e-06,5.123355087365602e-07,1.8155075426132974e-07,5.552185157439427e-09
0_30_0x1100_135_400000,79.9,21.6,41.1,55.8,58.8,76.7,103.4,115.3,153.7,9.96289681413375,1.824499355453388,1.3279240072850855,0.520904838719892,0.32654897447209247,0.03457793023930939,0.001974679836302288,0.0005631673356455975,0.00010660784881736857,3.006212303482354e-06,3.025322415815563e-07,2.0786090864418605e-07,1.0807027939980067e-07,4.317883112765522e-15
0_2_0x1100_135_400000,75.6,33.4,41.1,50.4,52.1,66.8,106.0,127.1,209.1,9.977550015968614,1.8746249815159919,1.1770122726420587,0.5899260810203186,0.35804749780588274,0.021001442195293152,0.0015356441188347288,0.00016313089706964013,0.00013324481456268185,5.01796766844724e-06,4.6898502285116743e-07,1.469256677078769e-07,5.514302013370757e-08,-8.596260931266903e-16
0_50_0x1100_135_400000,88.8,21.0,41.1,58.6,63.4,87.6,113.6,122.6,151.2,9.981486889337926,1.684695192371771,1.483780623451051,0.35318028133671764,0.4776627033406437,0.012156395681442257,0.005873231698179347,0.001039403112135627,0.00012065608635704497,3.4045637956179097e-06,1.0329962991169673e-06,1.4945989020403437e-07,3.6563790365287235e-08,9.576418000711133e-15
