desc,joules_sum,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13,eig_14
0_50_0xf00_135_400000,682.2123086799984,9.969380108182047,1.6690946505452113,1.4739902705084065,0.998904140699123,0.34953884206427216,0.5071701159804406,0.02083763698251593,0.009024342841080417,0.0018791268086127912,0.000174589144647547,5.670611985574454e-06,4.657545903105239e-07,2.937865264840965e-08,1.0498409929319669e-08,2.334094941572304e-15
0_10_0xf00_135_400000,696.8105435200014,9.997034678389213,2.1835035019015874,0.9650394348048331,1.0000578882945867,0.5512385486090265,0.29976390228523714,0.0018920165157480895,0.001063112162430053,0.0003472871201137528,5.1443115099367044e-05,6.252115525085224e-06,1.7205647106050803e-06,1.903765511711316e-07,2.3745325611247072e-08,5.3520390434408735e-15
0_50_0xf00_135_400000,677.5555365600012,9.983437088971886,1.6819151367695708,1.4712070996895812,0.9989791260099767,0.3452154014245926,0.5013006629897433,0.0112291005664551,0.004670386127271665,0.001708753163391553,0.00033241168108326304,4.214369056880548e-06,5.08645575085067e-07,8.465465605106477e-08,2.4937169693613394e-08,4.419529108342446e-16
0_200_0xf00_135_400000,642.6831861800001,9.99411668869556,1.694317970431357,1.5871718296549535,0.9981877018154657,0.3090191049997748,0.40992370396453714,0.006642852246617782,0.00041439861706407075,0.00014119685520226538,5.2593431800288785e-05,8.865894293094106e-06,2.3857269288795545e-06,4.984349683898218e-07,1.9466950744568245e-07,1.4561980887911813e-08
0_20_0xf00_135_400000,693.3942262799974,9.995629328061773,1.9207975667092916,1.1479445634582284,0.9993792175418383,0.5736795650041927,0.35748528380216804,0.0034404712004681265,0.0011379085537622038,0.00040143642636219584,9.514718074464137e-05,7.096676399537027e-06,2.065444384526944e-06,3.2737861575684026e-07,2.256176333383034e-08,5.435413977325484e-15
0_10_0xf00_135_400000,701.5514745399996,9.994001556602345,2.185618205534299,0.9744009509908701,1.002208059751334,0.5425418962570767,0.2940449428856119,0.004975566720636283,0.0017622240887283048,0.00036594433485940533,6.963344876460797e-05,8.767663465437887e-06,1.8091036026714658e-06,4.215211119470897e-07,2.1097278549603e-08,3.338053771482157e-15
0_300_0xf00_135_400000,627.2449646399982,9.972357585600797,1.7236851506095583,1.5753454461319523,0.9994300537149499,0.281516359169936,0.3827322926611396,0.061385589652882315,0.0028077706465855414,0.0005503697926793664,0.00014720690495270667,3.6603012207045184e-05,4.424446725886599e-06,1.0623622554403072e-06,5.900137773857398e-09,7.93932383291806e-08
0_50_0xf00_135_400000,682.1764781999955,9.982107291675321,1.6545926675339975,1.461664873681816,0.9993477441651616,0.3551716026107155,0.5282719974979134,0.013841814249575635,0.0029453641230037277,0.0018749092659081006,0.00017823549101151894,2.5100796526666727e-06,8.926942758154294e-07,8.704946175723172e-08,9.882177524830944e-09,7.74609913229692e-15
0_300_0xf00_135_400000,628.7110233600033,9.970612120226908,1.7005600364491475,1.6088275747973273,0.999159232431529,0.2942424115288206,0.38702242512379126,0.03861318930648535,0.0007222590044190342,0.00015581784537087708,6.381126582578599e-05,1.814419441897007e-05,2.1303856339182937e-06,7.94840231243242e-07,4.5066481449562154e-08,7.533620315279662e-09
0_100_0xf00_135_400000,668.9260828599945,9.99523555466307,1.670865799338257,1.5105066195852792,0.9995266446989427,0.34060629151390887,0.4782268260371074,0.00293915331959167,0.0015548223250219783,0.0004230083170791552,9.889910098544511e-05,1.4310189533583696e-05,1.988584546022275e-06,5.8706689086927955e-08,2.36197798853013e-08,2.071645702764034e-13
