desc,avg,std,min,5th,10th,50th,90th,95th,99th,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13
0_200_0x1100_135_200000,169.2,58.1,45.3,76.8,89.5,171.1,246.2,261.1,282.5,9.99884710144903,1.6816983680941673,1.554567749513208,0.3488479608682502,0.4143543337036854,0.0014735282664136437,0.00013780437676513677,3.454605587190493e-05,2.178546141018531e-05,1.2629200443186712e-05,3.3150800022328433e-06,7.016947059556353e-07,1.5691568493721834e-07,1.932035987161012e-08
0_30_0x1100_135_200000,66.9,11.5,41.1,51.8,54.1,64.8,82.3,87.4,101.3,9.993431244711914,2.094095207950971,1.043840819510682,0.5230816236053626,0.33842437174398815,0.0063513755751098315,0.00040794395290891315,0.0003395900396731591,1.5971613579545184e-05,9.894841439706012e-06,1.6052957634465455e-06,3.354961085089471e-07,1.5662492112427374e-08,8.576738768878306e-15
0_250_0x1100_135_200000,198.3,71.8,45.3,83.5,99.4,200.1,294.0,309.3,333.5,9.996905804258237,1.6744188621578144,1.5374849527430023,0.35134155052166255,0.4365614121890803,0.0022941950928531216,0.0008200468790176117,8.737635904346412e-05,4.6491727354117995e-05,2.5913214929111937e-05,1.2067159230755295e-05,1.017031466292232e-06,2.6116914324029326e-07,4.949716490431897e-08
0_30_0x1100_135_200000,66.9,11.5,41.1,51.8,54.1,64.8,82.3,87.4,101.3,9.996046199643803,2.036576455165466,1.06227754175727,0.5452221482669284,0.35516143891910484,0.0041979485679162,0.00039439200059096155,0.00010281937162598706,1.1698621134307788e-05,8.167668135541723e-06,8.978715273515737e-07,2.1241669494450496e-07,7.9729790438335e-08,1.81982508180198e-14
0_100_0x1100_135_200000,109.7,30.5,45.3,60.8,68.0,109.8,150.6,156.1,171.4,9.999322785895316,1.6366211051556672,1.5393545639040884,0.3627000881864161,0.46067821844690127,0.0009633754130350988,0.00026357232641815813,5.561708104440951e-05,3.3748364848221204e-05,3.955818528011826e-06,2.3410697369267813e-06,6.079001818899812e-07,1.8040884397097392e-08,2.3969180958301638e-09
0_40_0x1100_135_200000,72.3,14.1,41.1,53.1,55.5,70.9,92.1,96.6,108.6,9.998575592232516,1.913329466771191,1.175351925744433,0.51763559451147,0.3933711653079345,0.0009960897605566827,0.0006374814503529286,7.92784843258054e-05,1.5583493089247838e-05,5.7738097536035125e-06,1.693142955625503e-06,3.403419741599835e-07,1.494892266451811e-08,5.144745837885978e-13
0_200_0x1100_135_200000,169.2,58.1,45.3,76.8,89.5,171.1,246.2,261.1,282.5,9.993278534940998,1.6848351529364916,1.53952608276874,0.3551121122821993,0.4200438071580867,0.006934581692140291,0.00015093491184090153,5.947740289278456e-05,2.8552969342598153e-05,2.2785832011583703e-05,5.092360845420088e-06,2.753600784899464e-06,1.1283368072804935e-07,1.8309957379781816e-08
0_20_0x1100_135_200000,62.7,9.4,41.1,51.1,52.6,60.6,75.7,79.9,94.0,9.99839800902983,2.2683134021434532,0.9229707256067968,0.5373913381330824,0.27112171100629934,0.0015106219159633073,0.00016691096800426855,0.00010769686711623829,1.2314093704740296e-05,5.575595448090217e-06,1.2624471837181007e-06,4.041908238233652e-07,2.8002274542564363e-08,3.55215020448617e-14
0_400_0x1100_135_200000,280.1,114.8,45.3,99.7,121.8,281.2,433.4,459.0,488.6,9.987316765909084,1.6896703954917045,1.5562128899850765,0.4209776284408227,0.333022018834294,0.011445648293491109,0.001056198008249306,0.00020700855129416088,5.601402189966136e-05,2.10932529211678e-05,7.77227312864526e-06,5.799361599450619e-06,6.447279704518798e-07,1.2284847891859154e-07
0_30_0x1100_135_200000,66.9,11.5,41.1,51.8,54.1,64.8,82.3,87.4,101.3,9.995327878932141,2.037603966508368,1.0620357991291967,0.5406701959217777,0.3592996869542047,0.004694538271200838,0.0002740945643521207,5.913679057106554e-05,2.8038149036725023e-05,4.892146092097563e-06,1.6088310466600838e-06,1.1853904226658118e-07,4.526292003379702e-08,5.875289198643025e-14
