desc,joules_sum,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13
0_2_0x1d00_135_600000,1453.4469556600015,9.998929210775213,1.9015683984035838,1.1719961818333322,0.3548539447805965,0.5714075356934394,0.0008963665426581918,0.0001990717030923535,0.00010087838592827125,4.264437243645874e-05,4.377405798218653e-06,1.0128263961349632e-06,2.9182121894405443e-07,8.545627662109915e-08,2.573380801786398e-14
0_100_0x1d00_135_600000,1281.5995176600045,9.996464811203865,1.6772665559749511,1.5510553377040361,0.328721736417374,0.441804610794002,0.0030939300280698454,0.0011741748082413023,0.0002623303397702773,0.00015122559137881363,3.4549044417744376e-06,1.3084746568939724e-06,6.511188009993986e-09,2.1706328287316554e-07,3.001847388074885e-07
0_2_0x1d00_135_600000,1453.4469556600015,9.998693228319732,1.9166147193821228,1.1913581268665612,0.3462593910058639,0.5455284610592552,0.0011682733994861638,0.0001757163336319243,0.00015104356856808257,4.196505785769138e-05,6.157992667777367e-06,2.6610962591676235e-06,1.6337813443846817e-07,9.253984324399507e-08,4.460474568381691e-15
0_300_0x1d00_135_600000,1121.3658857800037,9.992020042288082,1.714416872671203,1.6132294951581017,0.28423369573447427,0.3839141306086462,0.011745381155930714,0.00031856883327477533,7.714028303494483e-05,3.378786951338951e-05,6.200143858612033e-06,2.763790682773638e-06,1.3877038761577302e-06,4.283275557410841e-07,1.0543176718557747e-07
0_100_0x1d00_135_600000,1262.6611099200018,9.980166528849248,1.667708022110273,1.538472652376924,0.3336117792504674,0.4595198091214446,0.019588341754538264,0.00046646673244521626,0.0002921269485254531,0.0001698107884547253,2.293205146438262e-06,1.7185798828033172e-06,2.3778158937822755e-07,1.387757662929155e-07,7.372528855231741e-08
0_10_0x1d00_135_600000,1428.6890858799998,9.99718638909452,2.0937332357736826,1.0422473515318593,0.5463840142286027,0.3175018831845351,0.002165857816838671,0.0005608489736299149,0.00017214191502443838,4.2760405930808685e-05,4.072507320799189e-06,6.739106169762661e-07,5.751613107981065e-07,1.9549610573395625e-07,1.9750483110854697e-14
0_350_0x1d00_135_600000,1123.2928880599998,9.996371849019145,1.7515051994061357,1.5206717029602657,0.3108721062225463,0.4167679965114662,0.0033677525879089137,0.0002821562177944689,0.00011871416609936523,3.3261255571167845e-05,7.130957586130112e-06,1.575735383466496e-06,4.452913238949057e-07,1.9321675013952778e-08,9.034709962753981e-08
0_350_0x1d00_135_600000,1123.34890752,9.99907572922725,1.7624567710116952,1.5548458570410317,0.3053233481850048,0.3763164719450568,0.001575390792558334,0.0002339226629216889,9.172117366278719e-05,6.524189154202415e-05,1.3304048473333386e-05,1.8524593438130147e-06,2.5939241882742247e-07,1.82639390752063e-08,1.1190510236996237e-07
0_100_0x1d00_135_600000,1281.5995176600045,9.987277508271127,1.6726438078080839,1.5415664907152045,0.33421812175835597,0.45141435261590335,0.012071867764152979,0.0005526758721115083,0.00013602314808648276,0.00011065749582249333,6.923652101360776e-06,8.512549635988806e-07,4.813850976554454e-07,2.3079209329015197e-07,7.466905724212177e-09
0_250_0x1d00_135_600000,1167.1457331799975,9.96452916535682,1.719710680151952,1.595777218826161,0.2980560243043423,0.38354715000163697,0.037871280919012824,0.0004041063183487159,7.619027051565465e-05,1.884457507708586e-05,6.2121662626918694e-06,2.306270309372155e-06,5.229269212266042e-07,2.2195908189767335e-07,7.59535510573169e-08
0_200_0x1d00_135_600000,1221.183743220001,9.939312151459971,1.7023629915021985,1.567619149877604,0.43037516989522095,0.2990429125458434,0.05692924441861775,0.002938830721374314,0.001310951156586706,9.337677405271068e-05,1.0393524809569909e-05,4.27036587591115e-06,4.5557366665523087e-07,8.574138384919935e-08,1.6442796965494103e-08
0_10_0x1d00_135_600000,1404.5502380000003,9.997053244851157,2.0837615679389794,1.030492245296066,0.562954802739544,0.3225988920401422,0.002042019477162953,0.0005638835016017496,0.00033021670253815665,0.00020071649179800527,1.5460264850927517e-06,5.556620566184322e-07,2.1373866914944009e-07,9.553377664802082e-08,2.3587027124053463e-14
0_40_0x1d00_135_600000,1362.0786365200038,9.939583455887934,1.6787686999895728,1.495957585469623,0.493076456859822,0.3318087043746299,0.043935528770011265,0.0115284779399132,0.004555374724172771,0.0007836751125442739,1.3909761569306662e-06,5.198577628918818e-07,8.006447926154695e-08,4.9973364694644445e-08,6.885655428160776e-15
0_10_0x1d00_135_600000,1428.6890858799998,9.9971984908165,2.0302587505744496,1.0556698026076474,0.5811642031931902,0.33229159517393486,0.0029050051408516272,0.000319176372576379,0.0001276353007124661,5.940445089467498e-05,5.051925643837687e-06,5.442531834243904e-07,2.1966949207607366e-07,1.20520917816211e-07,9.559924228812113e-15
0_40_0x1d00_135_600000,1343.7127229400066,9.957753485051247,1.6656153553522024,1.4943521438849359,0.48893183299877657,0.3506572865693856,0.03132706829770341,0.006223617654633589,0.004462404240226616,0.0006742592792255629,1.6999073382143908e-06,6.900038631923956e-07,1.0606403269445271e-07,5.069642388108066e-08,1.8185920474571793e-14
0_250_0x1d00_135_600000,1167.1128020999968,9.98178662101072,1.7016453570040284,1.603999950304197,0.29780631778915245,0.39633083503233413,0.016841761918271973,0.001328515402969619,0.00017550900140645293,5.432191560034064e-05,2.4128097063517756e-05,5.118573334720495e-06,1.274067783151988e-06,1.958701804081893e-07,9.401296484034276e-08
0_50_0x1d00_135_600000,1325.7661999400007,9.920458782459505,1.644604026874575,1.5140691669672444,0.48448015521231735,0.35618441519956023,0.05720551890218151,0.017510570240677523,0.005264159370978024,0.00021853103328305472,3.6439640924541223e-06,8.10965684600752e-07,1.7033181968079545e-07,4.847749601220644e-08,5.952220685010259e-13
0_30_0x1d00_135_600000,1355.1696257399963,9.97589451839684,1.6739764198380491,1.4476142086980501,0.5135446560722602,0.36445343040113753,0.02039991373826468,0.003323226165220432,0.0004972812231793367,0.00029361826980364486,1.654957195948663e-06,8.773055427490301e-07,1.4641249247574464e-07,4.852192684051565e-08,2.8840634943247124e-14
0_250_0x1d00_135_600000,1159.9477132600005,9.989270739286914,1.71591911481005,1.5779063540641647,0.28523261349262347,0.42059602813539015,0.010808021331650505,0.0001786488553332449,4.123376781816516e-05,3.490014045092843e-05,1.0999511258056121e-05,5.740642065405362e-07,4.7282132892007087e-07,2.49746214299793e-07,4.9972585111054725e-08
0_400_0x1d00_135_600000,1186.5135725799992,9.999895720289276,1.7821448579300043,1.5876546711181607,0.28833020414995003,0.3373330961602676,0.004216490229093142,0.0002993928633633642,8.268717673780156e-05,2.6077552060796984e-05,1.2687097821161662e-05,3.3730663448949465e-06,5.862238484143356e-07,1.5155208285711832e-08,1.4098788265269115e-07
0_100_0x1d00_135_600000,1262.5963464800006,9.974604458107091,1.6866949529706683,1.5133287000054785,0.48506586288794434,0.3148873013624572,0.02431409101299535,0.0006526102386053952,0.0003132534176806488,0.00012521603268497359,8.528414895392578e-06,4.431144942341046e-06,4.278267767304298e-07,2.1155478242216208e-08,1.4542232072811626e-07
0_40_0x1d00_135_600000,1362.0786365200038,9.954432329750222,1.653544854865911,1.5237014288381596,0.4743638473461226,0.34816121499718183,0.025714806934225846,0.01564988228267882,0.0036834657200849777,0.0007457256359838484,1.6065169558140715e-06,7.321551818446455e-07,7.987206373170062e-08,2.5085218813800654e-08,9.576687456221475e-15
0_300_0x1d00_135_600000,1121.3658857800037,9.990873330875454,1.7188024101821762,1.6154009213432463,0.28132854323793166,0.3841812566603717,0.009080251127221581,0.00016888845222490942,0.00010824283633552457,4.102457484818998e-05,1.1069831033626209e-05,2.2532581743462817e-06,1.2540035385187743e-06,8.67773475119059e-08,4.6684009918216e-07
0_10_0x1d00_135_600000,1428.75970916,9.997177043820187,2.0563618206314223,1.051846871969405,0.567287482170111,0.32395708565747694,0.0026377831849475285,0.0004603510148677055,0.0001465560589824382,0.00011873971778966283,5.17199224467793e-06,5.474504190261387e-07,3.7910374074000797e-07,1.672283867583042e-07,8.20016056769559e-15
