desc,joules_sum,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13
0_300_0x1300_135_600000,796.6310409399957,9.94738389194399,1.7489312626382287,1.6112777408228829,0.29718005686109317,0.3389627705059757,0.054191163825759656,0.0015338969180172899,0.000396557977859469,0.00010703320181946959,3.241538199473478e-05,1.7597909412221498e-06,1.2461992184669222e-06,1.9314924912751232e-07,1.0782968517952304e-08
0_350_0x1300_135_600000,796.4612429199988,9.996306490433064,1.7228623548410167,1.5907645745813985,0.28192791089715247,0.40400748237266065,0.0032363675701445366,0.0007338755719032211,0.00012364583347678515,2.254101575253973e-05,1.2462924245060387e-05,2.0672932913864105e-06,1.688966137839672e-07,6.795785738831316e-09,5.097348912494042e-08
0_50_0x1300_135_600000,877.5620694399986,9.94583637667931,1.6670949191597007,1.4897185344232031,0.5041927938102861,0.3384689806188114,0.04451303620946693,0.00652452501507732,0.0035076063455270323,0.00013923092490714136,3.584925005160733e-06,2.5270171800208626e-07,1.4745729506836173e-07,1.172967178229417e-08,3.534175501901369e-15
0_50_0x1300_135_600000,878.0050977599967,9.937213544870595,1.6553140096754113,1.5082711209538386,0.49139376279590063,0.3447922796367624,0.05022476250853081,0.009351239697768375,0.003386330148991429,4.062844746710077e-05,1.191298448508765e-05,3.4092280855530965e-07,5.179722488857115e-08,1.5560223841804196e-08,3.5286375139713176e-15
0_40_0x1300_135_600000,885.3915634200021,9.949057328541535,1.6568964063260798,1.5061495998949987,0.4919098479712781,0.34465910304496633,0.04235101540307324,0.007340025775992373,0.0013690140071324747,0.0002642412955413933,2.93775011134447e-06,3.4285833346556883e-07,9.674682243145861e-08,4.0384122904458134e-08,8.88567044575677e-16
0_400_0x1300_135_600000,777.6825463399999,9.99846557562558,1.8099109751015634,1.6014260845080255,0.2712973233132231,0.31685535477013277,0.0016323641160850173,0.0002232568732829892,0.00010598456968523743,5.002694742804363e-05,3.062429107546754e-05,1.556229876314684e-06,1.3457810495025428e-08,3.265882618670731e-07,5.336079806249342e-07
0_250_0x1300_135_600000,810.5967029999993,9.869256629922019,1.7515523578062533,1.6086762582414391,0.2835869208986468,0.3524040463717784,0.1311003864321802,0.0029395372289511812,0.00030452166309032433,0.00015323311855951733,2.2094647833639363e-05,3.4540955758224476e-06,4.3798232624455685e-08,2.833216112066166e-07,2.3245384715898078e-07
0_40_0x1300_135_600000,885.4113251200033,9.931923003802295,1.6621081069160621,1.5051378503874546,0.4948250062843805,0.3377365181656037,0.05976914545936673,0.006042648276961315,0.002400464295141059,5.4452186619109183e-05,2.3632757093744734e-06,2.860664692045612e-07,9.099206454988965e-08,6.389188103635168e-08,3.0172225077687654e-15
0_100_0x1300_135_600000,857.37560734,9.98844496279121,1.6904929638463289,1.5392847032938202,0.4515839495201921,0.31813587523556436,0.007383912304628026,0.0033589538003514453,0.001084525468831165,0.00022303027563144387,6.914698943132585e-06,1.4818783156731498e-07,1.7437034979160667e-08,4.3138466551188084e-08,1.171293592627783e-12
0_30_0x1300_135_600000,892.0632811999967,9.988057981636388,1.6603146942128029,1.4516003833786493,0.35946907462034694,0.5283441961687424,0.006915860040725695,0.0041071303062703,0.000977041521597641,0.000198730289458115,1.4429836339516201e-05,3.378322221924669e-07,8.484315823790734e-08,5.531330118618804e-08,4.3295022247907004e-15
0_2_0x1300_135_600000,909.4028529600099,9.04440801127486,1.8811992589988284,1.1995873354200468,0.9443202697339076,0.5651493093049289,0.3540747631414097,0.007565728994201526,0.0019976268128895974,0.001645997126404686,3.712439711416065e-05,1.324782712830539e-05,1.051397292916057e-06,2.7557099082889333e-07,-1.8328850005605162e-15
0_400_0x1300_135_600000,787.3444458599988,9.939051054031173,1.7491596938288319,1.5734354299412106,0.29721885589180924,0.3801245043965088,0.06063385658024558,0.0002674930065842587,6.537768807431827e-05,2.483071247059678e-05,1.6846213267958954e-05,1.8738080269631625e-06,1.0360143501019775e-07,8.002165919461458e-08,2.7869850729036043e-10
0_40_0x1300_135_600000,885.3915634200021,9.981381999181558,1.6527211899589633,1.522510411478703,0.3476939753679886,0.4766545735559494,0.0146636230252513,0.0029556298956774315,0.0012664914759011189,0.00014573396122561649,5.917408349596694e-06,2.8513047166208926e-07,1.246078679760672e-07,4.495209945450061e-08,6.059666358211427e-15
0_20_0x1300_135_600000,899.9473296800024,9.984089147410755,1.7586364595503798,1.302962464163208,0.5678994902936058,0.3698252545362417,0.009793741198237026,0.0044955439729357,0.001998027111831119,0.0002856985947426971,1.2746048483353186e-05,1.1987062317394654e-06,2.010184381161948e-07,2.7394907096096184e-08,1.894361774952281e-15
