desc,joules_sum,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13
0_20_0xf00_135_600000,741.5213058399968,9.978637291393612,1.7487167564351889,1.3041519797673082,0.5881142969232666,0.35824033823868145,0.017499511276532403,0.0032919816964079285,0.0011380524922833858,0.00019322604352106415,1.4532067833357244e-05,1.934240421643023e-06,6.907830801916209e-08,3.034664821817793e-08,5.299619198353868e-15
0_300_0xf00_135_600000,679.5027583400006,9.971395431819543,1.8798975720392779,1.4778606196608948,0.26186194954184644,0.3790993501427196,0.029064967360310192,0.0005287536113826033,0.00014621986883123943,8.659373745741923e-05,4.5872210054306554e-05,1.1529606439728996e-05,1.012893661600895e-06,1.2705574165001934e-07,4.5185442445626183e-10
0_50_0xf00_135_600000,729.7976277199996,9.906413850245794,1.6850831841788831,1.4773389656198805,0.32307081844010954,0.513796870538036,0.08280434429628264,0.0077302500793074444,0.0036094624653217186,0.00013987549508051445,1.1261484186737304e-05,9.702004357907381e-07,1.3940689635368977e-07,7.549786774807084e-09,2.3171517741221992e-15
0_400_0xf00_135_600000,670.5862945599947,9.949403197400173,1.8777989111144324,1.5278752225258343,0.2714838950369724,0.3227455176746002,0.05023619802075229,0.00023187149985923766,0.00016353208508311398,3.908275178224164e-05,2.1062790872342448e-05,1.1718744407103305e-06,2.2800149443348724e-07,1.0884357333257173e-07,3.801331063303423e-10
0_400_0xf00_135_600000,670.6425887000005,9.973251486829774,1.9186862243085936,1.5346979975314818,0.25792539413658727,0.2852261329086265,0.029734821400539197,0.00028225144258935294,0.00012342089171813757,4.513121989152877e-05,2.521804952546592e-05,1.580805232622214e-06,2.950241912536406e-07,3.9473410859026355e-08,5.977839482677934e-09
0_50_0xf00_135_600000,726.309115420001,9.893025235069118,1.6903018310061964,1.4778303023713089,0.5088043000785583,0.32310088013888477,0.07782542019797928,0.024208181423952584,0.004836953640624556,5.469885252243625e-05,1.0851173990478783e-05,1.255272316940091e-06,6.714648748822506e-08,2.3628062209322618e-08,-2.7580567035272155e-15
0_10_0xf00_135_600000,736.8657545199967,9.991525790255729,1.9994421740020458,1.0600077026247987,0.6108840891827657,0.32953110004569103,0.006244450989527244,0.0012118364444841782,0.0008614113534700705,0.00021906157303464902,7.145806385562178e-05,8.499207668580728e-07,5.1188010783716564e-08,2.4355823065497186e-08,9.291047031730234e-16
0_400_0xf00_135_600000,678.6242859199992,9.980200104074461,1.8192161094925214,1.5603478594873332,0.27550141305614567,0.34158703072076424,0.022628212981412373,0.0003815335784037403,0.00010436618833330275,2.2527448903984294e-05,8.241923004574096e-06,2.22066072210451e-06,3.3392953884973217e-07,4.638346162855808e-08,7.500641039440321e-11
0_300_0xf00_135_600000,679.5027583400006,9.9789381488905,1.8048978220427039,1.5498666155113763,0.2654986591731603,0.37406113554058545,0.025320322544854116,0.001047085444044592,0.00022599510607529264,0.00010430326905362632,3.4795768781882015e-05,3.90117176107923e-06,9.242154498663773e-07,2.8880422945160714e-07,2.5174356160461655e-09
0_300_0xf00_135_600000,679.5027583400006,9.971521157546164,1.8641764841745583,1.510608279766867,0.26878017407008103,0.3532473608263976,0.030527493008818584,0.0006872923250129477,0.00024306934751438787,0.00016343741538718228,4.1568821661673975e-05,3.110769690508572e-06,5.092145478544835e-07,6.214224602739619e-08,5.710503005623538e-10
