desc,avg,std,min,5th,10th,50th,90th,95th,99th,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13
0_100_0xf00_135_200000,112.3,30.6,45.3,62.6,70.3,112.6,152.6,161.0,176.2,9.999034916930347,1.623285604286123,1.5343467585772037,0.37644584744782333,0.4657426535693532,0.0007557917697267103,0.00029800406111514576,7.963281405077647e-05,6.148104306418846e-06,3.2846470414961527e-06,8.99598095721333e-07,4.3752138839743175e-07,4.60756388514932e-10,2.0212664655566956e-08
0_300_0xf00_135_200000,230.5,85.7,49.8,93.7,112.1,232.4,345.3,361.9,395.8,9.997017065937545,1.6789541835219626,1.5381592034839449,0.3526924561580434,0.4295708345778887,0.002140936877859361,0.0009975673418852412,0.00038833817553363885,5.2581985713018984e-05,1.683277282234899e-05,7.2278742950079506e-06,2.331295170163086e-06,4.11018114518176e-08,3.9889553751249365e-07
0_2_0xf00_135_200000,63.6,12.8,41.1,50.6,51.8,59.8,79.3,87.7,109.4,9.995585819394769,1.9194568453014953,1.1612153778353071,0.5324906502335077,0.38650505878546076,0.0043831844794650875,0.00028980459931204563,5.320708548205751e-05,1.3397077356440905e-05,5.407512413756246e-06,8.954473106964496e-07,3.1589224272747926e-07,3.6355521622580526e-08,3.475056149737796e-13
0_30_0xf00_135_200000,70.9,12.9,41.1,55.3,56.5,69.0,87.6,94.8,110.7,9.997840531001135,2.089417974252677,1.0577875317095264,0.5022630766505951,0.3499817492030293,0.0023790296193220684,0.0001930884918920262,0.00010153991237865385,2.19675830119085e-05,1.200025386228381e-05,1.1391639886068367e-06,3.3098645792921763e-07,4.1172123013634646e-08,7.624979478058777e-15
0_200_0xf00_135_200000,173.9,57.2,45.3,81.2,95.4,175.4,249.2,265.0,289.4,9.999013124283609,1.6660939538268713,1.5438172372801684,0.35320320691843915,0.43648133534088124,0.0009835660801857655,0.0002599997810986156,0.00010855008325485239,2.5354161222685194e-05,8.903407833490159e-06,4.072484891478315e-06,5.734017372146803e-07,3.9091376009732035e-08,8.385843153640949e-08
0_50_0xf00_135_200000,81.4,17.6,41.1,56.3,58.6,80.1,105.1,111.8,125.4,9.998075379489567,1.8138262476438738,1.2981476857972618,0.38659928985007486,0.5010896092284515,0.0013239412041352512,0.0008490070848865344,6.226939789966246e-05,1.9702203388013237e-05,5.145901628362986e-06,1.5059502231993086e-06,1.5877728432706027e-07,5.74700038180061e-08,1.3141643590679992e-12
0_300_0xf00_135_200000,230.5,85.7,49.8,93.7,112.1,232.4,345.3,361.9,395.8,9.993073538112203,1.686509278940032,1.5568145898031478,0.3241338656640121,0.4324068678603727,0.004424026347640913,0.002288998063601361,0.0002390752143032812,6.394073834064875e-05,3.903201228297585e-05,4.98742404402166e-06,9.400960970901756e-07,8.272037146995417e-07,3.252021000717243e-08
0_30_0xf00_135_200000,70.9,12.9,41.1,55.3,56.5,69.0,87.6,94.8,110.7,9.998167396120422,2.0133479227727054,1.0673281420914078,0.567401025070319,0.35184096784305635,0.0013437639452570586,0.00045616156090249953,7.019432977056578e-05,3.7645685084161766e-05,5.716220981345974e-06,7.545801503438612e-07,2.839989575791906e-07,2.578096217226661e-08,2.1759118509591688e-14
0_250_0xf00_135_200000,202.8,71.6,45.3,88.9,105.6,203.9,297.8,315.8,339.3,9.997988736353728,1.6545853767530343,1.5836563268466377,0.3514587421796592,0.4102591201188367,0.0016495353600416679,0.00024615662795694825,7.519141555526613e-05,4.61310473031038e-05,2.5798267839430528e-05,7.6079326914767785e-06,1.0974122099214918e-06,1.2452551852819962e-07,5.515897995137437e-08
0_100_0xf00_135_200000,112.3,30.6,45.3,62.6,70.3,112.6,152.6,161.0,176.2,9.997965641255245,1.5980141393334453,1.5442269710323984,0.4013143157989542,0.45525200514262903,0.0026246381271490876,0.0003218697690714394,0.00021619032613715754,5.0502543283748174e-05,9.527748012145312e-06,2.6432096489545894e-06,1.2938649184235385e-06,2.607129865279622e-07,1.1361177509382382e-09
