desc,avg,std,min,5th,10th,50th,90th,95th,99th,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13
0_250_0x1d00_135_400000,188.9,73.3,37.4,73.1,88.5,190.0,285.8,301.5,338.9,9.923463344833088,1.689475577795279,1.5838478897998012,0.4147597944891074,0.3101233256624326,0.07471673770045166,0.0030675888537728254,0.0003602814602434365,0.00015864160618157504,1.6360996939910666e-05,6.129928954337658e-06,3.2046101341926732e-06,1.9345456552705968e-07,9.28809051584554e-07
0_200_0x1d00_135_400000,158.8,57.6,41.1,67.4,79.7,159.2,236.3,248.1,273.6,9.977515382541334,1.6851305593495298,1.5448620243092686,0.4539160164102153,0.3155045251846033,0.021026309754662003,0.001527370241887682,0.00042916812405837,3.821411071729788e-05,3.377780537041068e-05,1.3184553642029409e-05,2.509908646431667e-06,3.145756677670056e-07,6.431303970069074e-07
0_40_0x1d00_135_400000,65.7,13.0,37.4,45.9,48.5,65.2,82.8,86.7,95.6,9.987873318229097,1.7444625311294948,1.4227348507800006,0.4861227106721939,0.3464456724610608,0.010809303322911586,0.001171865841753164,0.0003444876590347785,2.986956625832017e-05,4.693995694861511e-06,3.988177248389675e-07,2.1078522578194613e-07,8.673952773641493e-08,3.094696356048228e-14
0_350_0x1d00_135_400000,237.8,100.1,37.4,78.4,99.3,239.6,369.2,392.8,431.5,9.994052024900808,1.6999163570113205,1.5727742236344768,0.3168070682592116,0.4013261409110756,0.014529294405723113,0.00033357442395451207,0.00021703948979406878,2.1396156182274975e-05,1.4376456030978202e-05,5.341168302689581e-06,2.4431151545969377e-06,6.969080245420175e-07,2.3159939071603418e-08
0_30_0x1d00_135_400000,59.6,10.4,37.4,44.4,46.5,58.9,73.4,77.7,86.3,9.990886053081471,1.8552280064324875,1.2880217740528768,0.5054306794426084,0.34973630791211247,0.009085344213970005,0.001477166167782106,0.00010935532342940773,2.279402660721797e-05,1.5679044878440058e-06,5.877713936497334e-07,2.320889785363661e-07,1.315817677773297e-07,3.268893895869673e-14
0_10_0x1d00_135_400000,52.0,6.6,34.0,43.5,45.5,51.0,59.8,64.2,75.4,9.999267242890685,2.308373297907472,0.9028857243725978,0.5318428968595181,0.25635824073563357,0.000927577288783652,0.000245594306994744,7.925767993545866e-05,1.333471044332921e-05,4.003164005188937e-06,1.8372257080340141e-06,6.643756831847535e-07,3.284824987123037e-07,2.2843934298579724e-14
0_250_0x1d00_135_400000,188.9,73.3,37.4,73.1,88.5,190.0,285.8,301.5,338.9,9.927695908380578,1.6923555687948175,1.579582264210599,0.409642358153344,0.31273911012235367,0.07072616242514018,0.0049732164683074275,0.0021815885584838893,7.153913510972276e-05,2.1886053982236247e-05,7.605945958190473e-06,2.5378292032244453e-06,1.9954092680974346e-07,5.438120897228356e-08
0_50_0x1d00_135_400000,72.0,15.6,34.0,47.5,51.0,72.4,93.1,96.6,105.8,9.987636483651048,1.6609422812732906,1.5131391743096791,0.3602142777426958,0.46523959347602195,0.00906493196423331,0.002821959530968343,0.0009149993119874582,2.060492729162486e-05,4.22369335715332e-06,1.3198897584370548e-06,1.1278718173071203e-07,3.714109202854388e-08,3.013959663374031e-10
0_100_0x1d00_135_400000,102.7,29.4,37.4,56.1,62.3,102.9,141.2,149.9,164.8,9.997066859664102,1.6412304736443417,1.530685401269064,0.3640004924779297,0.46339306321875195,0.003315225863423366,0.00024399925935283603,4.969918737624163e-05,8.879952973611162e-06,4.213916375385625e-06,9.787680477352897e-07,5.765747658183416e-07,1.207918053358954e-07,1.5411706491354672e-08
0_30_0x1d00_135_400000,59.6,10.4,37.4,44.4,46.5,58.9,73.4,77.7,86.3,9.991943851400961,1.82216643482906,1.3144329256145693,0.5006850613982015,0.36211943225799414,0.007794411447418119,0.0007322233535549236,0.00011055425453530013,1.0072313486315365e-05,3.76459978746902e-06,8.488210445585586e-07,3.645817783638993e-07,5.5127600445508924e-08,1.509064614423838e-14
0_100_0x1d00_135_400000,102.7,29.4,37.4,56.1,62.3,102.9,141.2,149.9,164.8,9.997714559177735,1.6698437821695646,1.515912470271443,0.344264551679564,0.46980064637536445,0.0021961248009511,0.00018778546048619404,6.652625877277432e-05,7.636583256282602e-06,3.6538491436933923e-06,1.5055140616747188e-06,4.643990273875082e-07,2.7872930612348394e-07,1.4731317074864347e-08
0_40_0x1d00_135_400000,65.7,13.0,37.4,45.9,48.5,65.2,82.8,86.7,95.6,9.989981393151126,1.7233440268462976,1.4124309565776998,0.3853605803644611,0.47854441424508243,0.006021023659845257,0.003634768026523765,0.0006556187633711014,2.2885736657640085e-05,2.994251694239484e-06,9.161707968984913e-07,1.754322501530373e-07,2.467741563444876e-07,3.847246403308123e-14
0_250_0x1d00_135_400000,188.9,73.3,37.4,73.1,88.5,190.0,285.8,301.5,338.9,9.957866769709312,1.672737421287683,1.5979588372119005,0.3289132552576335,0.4000336332295643,0.03690566089540709,0.003828768247179197,0.001457525948728088,0.00025670434230809963,2.9780628539346668e-05,9.687149557252722e-06,1.486327822895483e-06,2.5660915724722587e-07,2.1315521941323728e-07
0_300_0x1d00_135_400000,218.9,87.0,34.0,79.5,99.3,220.2,333.5,356.4,394.5,9.957167505755107,1.6801850956583135,1.5786994599066668,0.3188602779194684,0.4216937763880623,0.042479955782645025,0.0006941919190470816,0.00015672034307316537,4.065157626751587e-05,1.6071833730383555e-05,2.9427965377966168e-06,2.107359705304411e-06,9.8111390314413e-07,2.6164747874277846e-07
0_20_0x1d00_135_400000,54.6,9.3,30.9,43.2,45.4,53.8,65.0,69.6,79.9,9.995211865706677,1.9865541746185236,1.1248765864972845,0.5420206734606271,0.3461939178259338,0.0036860085738990717,0.0009424740257498908,0.0005030747125233781,7.904316372078584e-06,1.7624053212079417e-06,1.272444321762721e-06,2.557290451687049e-07,2.9683695366427848e-08,3.188974322106105e-14
0_2_0x1d00_135_400000,48.7,7.2,34.0,40.7,41.6,47.0,58.3,62.5,74.0,9.999246590844852,1.937636619454553,1.1547704429252295,0.3522249873321336,0.5545294351948856,0.0013469585095952825,0.0001704026987758466,5.241394603300758e-05,1.4423795093333732e-05,4.064791342984089e-06,3.1418648439796258e-06,3.588984494323677e-07,1.597441709680813e-07,3.6535833561056525e-14
