desc,joules_sum,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9
0_13_300_0xd00_135_200000,532.9997387399999,1.7015361576544803,1.5714352856847655,0.3251576937274958,0.40187086293325885,3.560748787108049,1.0253199608517336,0.9731314203234023,0.2845839911871372,0.15587137461230316,0.00034446591737473815
0_3_100_0xd00_135_200000,546.7768329800019,0.3721734108938443,0.46159817015599064,1.6279505800049607,1.538277838945203,3.559752821257109,1.1143380857660008,0.9017460176565859,0.2510731806500802,0.17304637804367706,4.3516626546608244e-05
0_9_2_0xd00_135_200000,562.7273479800006,2.0675891421240076,1.0622373832484426,0.3487793162058349,0.5213941584217123,3.6476055575253152,1.1675767239804697,0.8354751137681028,0.22535293151340177,0.12398964213663678,3.107607527838316e-08
0_13_2_0xd00_135_200000,562.7273479800006,2.0736745360714757,1.0626240506592441,0.34573920370187505,0.5179622095674046,3.643787270517757,1.2024055168060155,0.799304680066418,0.21887070383922355,0.13563173551373148,9.325685309992107e-08
0_1_400_0xd00_135_200000,527.1305748800005,1.6738140332678904,1.5857929447181691,0.3390108060314136,0.40138221598252644,3.610465644887715,0.2685740857813729,0.1212374582574905,0.00035638669494656523,1.0007699125996026,0.9985965117788751
0_3_40_0xd00_135_200000,558.2891753599997,1.877158148424634,1.2084091142994082,0.38612509938567335,0.5283076378902827,3.537300578143177,1.162341773045636,0.8404376454814378,0.3025867289557883,0.1573332580853719,1.6288592701784287e-08
0_0_100_0xd00_135_200000,545.8001319399991,0.36995386917558415,0.46836671197563023,1.6303322769521529,1.5313471418966333,3.613163339302525,1.1126814171665023,0.8917875827499754,0.26082419574631405,0.12149691435906848,4.655067561632949e-05
0_15_2_0xd00_135_200000,562.7273479800006,2.0749314305580366,1.0604191682043285,0.3459485820477784,0.5187008191898594,3.6573467854023445,1.1797812562148557,0.8220659659266598,0.2138259881025399,0.1269798801885729,1.241650229724794e-07
0_7_200_0xd00_135_200000,538.2732437599989,1.678492407949077,1.52875281636493,0.34187751945743156,0.4508772562285612,3.6080060229193216,1.0563543910053528,0.9378236346387402,0.25097643678516995,0.14652329913311213,0.00031621551830121527
0_7_350_0xd00_135_200000,605.4576369800006,1.6986022505587108,1.5769891889544514,0.3280187276216674,0.39638983286516954,5.174971597684676,0.8152856511362848,0.008836979662554697,0.0008129133219171481,9.181815667872114e-05,1.0400378933213439e-06
0_5_50_0xd00_135_200000,556.8256650600015,1.7879980252771845,1.3070389132931435,0.39406902394471566,0.5108940374849564,3.5187098349037456,1.1320718806996202,0.8694901603950342,0.20976393943814642,0.2699641680684562,1.649500103744288e-08
0_10_250_0xd00_135_200000,531.5794905399962,1.6730522116964073,1.5454276559628755,0.3457506046125465,0.4357695277281684,3.5877981921328344,0.3222271084264323,0.09199045836407324,0.0005221414360836213,0.9692913056162797,1.028170794024293
0_14_50_0xd00_135_200000,553.1640585799996,1.7834429835687404,1.31497971000849,0.390849442358372,0.5107278640643965,3.5613055329102483,1.1438289767810657,0.8582524372447211,0.2931732475684248,0.14343973276836983,7.272717302841158e-08
0_15_100_0xd00_135_200000,546.7768329800019,1.6264842121935885,1.5320926772911387,0.37554484550037237,0.4658782650149013,3.5096872270931447,1.1205643169499488,0.8960323515593481,0.2932163395599986,0.1804566523350614,4.311250249830695e-05
0_0_300_0xd00_135_200000,531.7884304600011,1.6870529122599023,1.567645318028042,0.33028053356875137,0.41502123614330577,3.6111513274241065,0.27463361555180693,0.11514409803990658,0.0004222088710946659,0.9829907191064231,1.0156580310066619
0_11_2_0xd00_135_200000,562.7273479800006,2.0588817052332358,1.0643925645917098,0.3507234815335813,0.5260022486414714,3.670358352257423,1.1944058837608413,0.8082399896538984,0.1944585385985411,0.13253706425128942,1.7147800420746734e-07
0_4_20_0xd00_135_200000,562.4229720200019,2.142107798845937,0.9823868235638175,0.31026694353531775,0.565238434054928,3.5105321159364875,1.1849939181808473,0.8197259216313001,0.1922089891046407,0.29253904215336324,1.299336761061045e-08
0_2_30_0xd00_135_200000,561.750967400003,2.0164553283993154,1.0805647649631616,0.3678879717702589,0.5350919348672625,3.511269711936737,1.2013770733379827,0.8041151164650544,0.2963306394488093,0.18690740445680218,5.435461768878808e-08
0_15_50_0xd00_135_200000,556.8256650600015,1.8064748124160102,1.3030519219804524,0.38535513876005056,0.5051181268434837,3.5202297043752497,1.157766908182837,0.845582262394321,0.21450856190349768,0.26191244418462467,1.1895947084386715e-07
0_12_350_0xd00_135_200000,529.7342513399999,1.6827051231935715,1.5648367149213025,0.3347115344710878,0.41774662741403795,3.6330791028323066,0.2748766802096423,0.09401443326679568,0.00026852218321186667,0.978870258141819,1.0188910033662255
0_1_350_0xd00_135_200000,530.5740701800005,1.7004137554016334,1.573062797189837,0.3237075069554961,0.4028159404530367,3.6397109139598154,0.22221833547298103,0.14129002428641524,0.00031563967984120643,0.9927865143531475,1.003678572247795
0_12_20_0xd00_135_200000,562.4229720200019,2.1756207896176947,0.9666712212838258,0.30313973948019785,0.5545682496182832,3.4906956303977723,1.1778829473643981,0.8289753190967901,0.20111671639781342,0.3013293736732262,1.3070002276456828e-08
0_7_30_0xd00_135_200000,559.8841810799931,2.021793582566053,1.078907315242034,0.36261157372266634,0.5366875284692477,3.580872392718102,1.1774530448849434,0.8279840804388285,0.15845748068606166,0.25523298863197147,1.2640092156136371e-08
0_2_200_0xd00_135_200000,535.5513633400005,1.6843729022483411,1.5300948253665394,0.347229523303291,0.43830274908182826,3.600070573350801,1.0430096069283035,0.9584950306007254,0.30573289162410705,0.09215384675403436,0.0005380507420318663
0_3_30_0xd00_135_200000,559.912442599998,2.0122013539061014,1.0822517212405518,0.3669437283897311,0.5386031964636152,3.5640529819064746,1.2077438451436642,0.7975038203169781,0.15804755362422657,0.27265178367052045,1.5338135852117056e-08
0_0_250_0xd00_135_200000,531.5794905399962,1.6757694012369517,1.5368739642276057,0.35148998077695737,0.4358666537584826,3.623136291111839,0.28985563347593285,0.08929944248488497,0.0004002047455484203,0.9621824123620965,1.0351260158196984
0_15_400_0xd00_135_200000,527.1305748800005,1.6882713561346336,1.5766987192816693,0.3366244889031745,0.39840543568052333,3.638996447632287,0.2416678252114441,0.11983418923906344,0.0002292918974301021,0.9931775578146755,1.0060946882050994
