desc,joules_sum,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9
0_3_2_0xf00_135_200000,608.5744004199996,2.088334837188925,1.0510149531143738,0.34383838933477684,0.5168118203619247,3.68088638193046,1.190645219513334,0.8115318536505667,0.19623329542983492,0.12070146109390595,1.7883818985186182e-06
0_4_250_0xf00_135_200000,573.7033013599994,1.6826427995404567,1.538810450225274,0.34841695360262065,0.4301297966316494,3.633285706218202,1.0502461494066917,0.9501732865728029,0.2710195409902646,0.09151459304771654,0.003760723764323097
0_14_30_0xf00_135_200000,609.0075250000009,1.9791439913146003,1.0966964988332684,0.37111633727546467,0.5530431725766661,3.481420199180109,1.1810908925664838,0.8242406130406251,0.31677281770397486,0.19647545915189496,1.8356911866280102e-08
0_11_30_0xf00_135_200000,606.0999303799981,1.9935766060950266,1.0992331330052332,0.37193114946246614,0.5352591114372734,3.5684327308196275,1.204062554216807,0.8027046402619743,0.25880971064694774,0.16599034707584653,1.6978795509295987e-08
0_3_30_0xf00_135_200000,606.1220573800019,2.00292561464671,1.0926908350590216,0.3660501544317911,0.5383333958624794,3.5423619835121336,1.1952428838790654,0.8098716731928768,0.27239399548743576,0.18012944713987517,1.6788623631592683e-08
0_9_300_0xf00_135_200000,570.8726171399976,1.7007672605500508,1.5551957068625593,0.34137226280313215,0.4026647697842577,3.630027409407333,0.0038068091548520786,0.16882748699343508,0.19953027490908187,1.031392314251874,0.9664157052834239
0_7_400_0xf00_135_200000,564.85399684,1.7101715988731054,1.5695666007376425,0.3243059211119223,0.3959558792773301,3.5989695501764563,0.2636497586893496,0.13312612911628782,0.005102951582657382,1.0026572344376183,0.9964943759976309
0_10_40_0xf00_135_200000,606.9730770599999,1.8769352619654556,1.2062863080721695,0.3883508740547049,0.5284275559076705,3.5417121798823037,1.18647790760335,0.8219249005917364,0.273056667729317,0.1768283247802075,1.9413086376388895e-08
0_10_10_0xf00_135_200000,612.0829796200014,2.28341268415994,0.9086066245369615,0.5513867661596362,0.25659392514346385,3.5661390427232638,1.198252398121832,0.8064102369365251,0.1629447734000327,0.26625258189382733,9.669245186775764e-07
0_7_30_0xf00_135_200000,606.1220573800019,1.9848083738341764,1.1004793265632635,0.37252245473002016,0.5421898448725387,3.5440398204627375,1.168837046678372,0.8374628732545837,0.26255741985383657,0.1871028221412927,1.7609179890302437e-08
0_11_250_0xf00_135_200000,575.0302346600001,1.6820580999393875,1.5618127377663302,0.3423796871399289,0.4137494751543532,3.6112350860720595,1.0326591813267922,0.9610156269193947,0.2356741384064639,0.15572693742698282,0.003689029848308321
0_3_100_0xf00_135_200000,590.2678024599954,1.619014902341968,1.5361332175282891,0.381838932769036,0.4630129473607095,3.585666162321047,1.1069454199238669,0.9013231001872025,0.2447122826951453,0.16036024503273452,0.0009927898400069186
0_7_40_0xf00_135_200000,602.0562745400046,1.8731749172832448,1.208199105760074,0.38872157532682156,0.5299044016298611,3.631011844776893,1.1834312655024033,0.8201470886734906,0.2265217333432527,0.1388878686245351,1.9907941507252032e-07
0_5_20_0xf00_135_200000,607.6129593799997,2.1620973439175453,0.9713407733005407,0.31020267449519706,0.5563592082867165,3.5816245652645473,1.1900879992357967,0.8137567942772725,0.264014121811656,0.1505165021793048,1.723142111327226e-08
0_10_300_0xf00_135_200000,571.7152285600023,1.6870790582310908,1.555836779107452,0.33264547437360326,0.4244386882878543,3.631504891454669,0.25471587762506664,0.11192005733980952,0.0030948186581860604,1.0160567763198038,0.9827075786024679
0_7_350_0xf00_135_200000,568.0695382599952,1.7121974500623747,1.5542933749797412,0.3254708127227887,0.4080383622350958,3.6369788513463264,0.22927953907506674,0.1326183504565204,0.002804563128484886,0.9804147454972553,1.0179039504963467
0_15_2_0xf00_135_200000,608.5744004199996,2.0891580273382795,1.0481566790224002,0.34496753430813915,0.5177177593311822,3.6700098860253396,1.1710127779198665,0.8308218240215004,0.20917035085836982,0.1189839711088915,1.190066036926491e-06
